seqnames	start	end	strand	RPKM	gene	tx_name
chrX	100584936	100599885	+	0	ENSG00000000005.6	ENST00000373031.5
chr1	27612064	27635185	-	0.00134802199060433	ENSG00000000938.13	ENST00000374005.8
chr1	196676988	196747504	+	0.000994514373132646	ENSG00000000971.16	ENST00000466229.5
chrX	2691326	2715597	+	0	ENSG00000002586.20	ENST00000646103.1
chrY	2691326	2715597	+	0	ENSG00000002586.20_PAR_Y	ENST00000646103.1_PAR_Y
chr7	150824627	150861504	+	0.000739542380508951	ENSG00000002726.21	ENST00000493429.5
chr7	43112647	43566001	+	0.073994106180241	ENSG00000002746.15	ENST00000395891.7
chr7	150802056	150805114	+	0	ENSG00000002933.9	ENST00000462826.1
chrX	117897814	117947942	-	0.066763102388191	ENSG00000003096.14	ENST00000371876.5
chr2	72129238	72147862	-	0.339302418557542	ENSG00000003137.9	ENST00000001146.7
chr7	8113187	8262612	-	0.131360374854027	ENSG00000003147.19	ENST00000406470.6
chr8	17497215	17570573	+	0.387174291775091	ENSG00000003989.18	ENST00000470360.5
chr3	129555214	129606676	-	0.65789572415154	ENSG00000004399.13	ENST00000324093.9
chr4	15778328	15853232	+	0.000312084952273746	ENSG00000004468.13	ENST00000226279.8
chr19	35754566	35757029	-	0.012649742072546	ENSG00000004776.13	ENST00000004982.6
chr19	35775515	35788822	+	0.232455644974847	ENSG00000004777.18	ENST00000378944.9
chr7	95583499	95596516	-	0.015562933556145	ENSG00000004799.8	ENST00000005178.6
chr6	110424756	110476204	-	0.00121164510356871	ENSG00000004809.14	ENST00000330550.8
chr7	20615207	20757009	+	0.000109902345037669	ENSG00000004846.16	ENST00000404938.6
chrX	25003694	25015965	-	0.0165089854167125	ENSG00000004848.8	ENST00000379044.5
chr17	44248390	44268135	-	0.000789247555625272	ENSG00000004939.15	ENST00000262418.12
chr7	93424539	93574730	-	0.00347608497668396	ENSG00000004948.16	ENST00000649521.1
chr16	2852730	2858170	-	0.289291068842315	ENSG00000005001.10	ENST00000161006.8
chr17	43640389	43661922	-	0.0090464394871927	ENSG00000005102.14	ENST00000318579.9
chr7	11370365	11832198	-	0.00435307536497006	ENSG00000005108.16	ENST00000423059.9
chr17	48026167	48037797	-	0.00971434065789532	ENSG00000005243.10	ENST00000621465.5
chr17	58269855	58280935	-	0.00210962217760716	ENSG00000005381.8	ENST00000225275.4
chr7	87345664	87399794	+	0.000143951545633524	ENSG00000005469.12	ENST00000331536.8
chr7	87401696	87475680	-	0.00105321904665653	ENSG00000005471.19	ENST00000649586.2
chr16	982086	986978	+	0.240471777768227	ENSG00000005513.10	ENST00000566034.1
chr17	50095351	50112152	+	0.436870082842542	ENSG00000005882.12	ENST00000503176.6
chr17	44372181	44389649	-	0.0798449344488641	ENSG00000005961.19	ENST00000262407.6
chr7	95485943	95540233	+	0.000717636543505213	ENSG00000005981.13	ENST00000325885.6
chr17	7288263	7294589	-	0.0357159779332956	ENSG00000006047.13	ENST00000571485.5
chr17	41346092	41350828	-	0	ENSG00000006059.4	ENST00000007735.4
chr11	17392903	17476839	-	0.00204235682198724	ENSG00000006071.15	ENST00000647086.1
chr16	24256335	24362412	+	0	ENSG00000006116.4	ENST00000005284.4
chr7	97732086	97740472	+	0	ENSG00000006128.12	ENST00000319273.10
chr16	57376972	57385042	+	0	ENSG00000006210.7	ENST00000565912.1
chr7	97005553	97011040	+	0	ENSG00000006377.11	ENST00000518156.3
chr7	140084746	140176983	-	0.322839279119499	ENSG00000006459.11	ENST00000397560.7
chr1	54779712	54801323	-	0.00288441277686038	ENSG00000006555.11	ENST00000371276.9
chr7	75769533	75789896	-	0.0206629846936343	ENSG00000006606.9	ENST00000394905.2
chr11	17493900	17544416	-	0.321765246736976	ENSG00000006611.17	ENST00000005226.12
